Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Decode/pc_o[31:0],Aquila_SoC/RISCV_CORE0/exe_branch_misprediction
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
646,646,0,00002350,0
647,647,0,00002350,0
648,648,0,00002350,0
649,649,0,00002354,0
650,650,0,0000234c,0
651,651,0,00002350,0
652,652,0,00002350,0
653,653,0,00002350,0
654,654,0,00002354,0
655,655,0,0000234c,0
656,656,0,00002350,0
657,657,0,00002350,0
658,658,0,00002350,0
659,659,0,00002354,0
660,660,0,0000234c,0
661,661,0,00002350,0
662,662,0,00002350,0
663,663,0,00002350,0
664,664,0,00002354,0
665,665,0,0000234c,0
666,666,0,00002350,0
667,667,0,00002350,0
668,668,0,00002350,0
669,669,0,00002354,0
670,670,0,0000234c,0
671,671,0,00002350,0
672,672,0,00002350,0
673,673,0,00002350,0
674,674,0,00002354,0
675,675,0,0000234c,0
676,676,0,00002350,0
677,677,0,00002350,0
678,678,0,00002350,0
679,679,0,00002354,0
680,680,0,0000234c,0
681,681,0,00002350,0
682,682,0,00002350,0
683,683,0,00002350,0
684,684,0,00002354,0
685,685,0,0000234c,0
686,686,0,00002350,0
687,687,0,00002350,0
688,688,0,00002350,0
689,689,0,00002354,0
690,690,0,0000234c,0
691,691,0,00002350,0
692,692,0,00002350,0
693,693,0,00002350,0
694,694,0,00002354,0
695,695,0,0000234c,0
696,696,0,00002350,0
697,697,0,00002350,0
698,698,0,00002350,0
699,699,0,00002354,0
700,700,0,0000234c,0
701,701,0,00002350,0
702,702,0,00002350,0
703,703,0,00002350,0
704,704,0,00002354,0
705,705,0,0000234c,0
706,706,0,00002350,0
707,707,0,00002350,0
708,708,0,00002350,0
709,709,0,00002354,0
710,710,0,0000234c,0
711,711,0,00002350,0
712,712,0,00002350,0
713,713,0,00002350,0
714,714,0,00002354,0
715,715,0,0000234c,0
716,716,0,00002350,0
717,717,0,00002350,0
718,718,0,00002350,0
719,719,0,00002354,0
720,720,0,0000234c,0
721,721,0,00002350,0
722,722,0,00002350,0
723,723,0,00002350,0
724,724,0,00002354,0
725,725,0,0000234c,0
726,726,0,00002350,0
727,727,0,00002350,0
728,728,0,00002350,0
729,729,0,00002354,0
730,730,0,0000234c,0
731,731,0,00002350,0
732,732,0,00002350,0
733,733,0,00002350,0
734,734,0,00002354,0
735,735,0,0000234c,0
736,736,0,00002350,0
737,737,0,00002350,0
738,738,0,00002350,0
739,739,0,00002354,0
740,740,0,0000234c,0
741,741,0,00002350,0
742,742,0,00002350,0
743,743,0,00002350,0
744,744,0,00002354,0
745,745,0,0000234c,0
746,746,0,00002350,0
747,747,0,00002350,0
748,748,0,00002350,0
749,749,0,00002354,0
750,750,0,0000234c,0
751,751,0,00002350,0
752,752,0,00002350,0
753,753,0,00002350,0
754,754,0,00002354,0
755,755,0,0000234c,0
756,756,0,00002350,0
757,757,0,00002350,0
758,758,0,00002350,0
759,759,0,00002354,0
760,760,0,0000234c,0
761,761,0,00002350,0
762,762,0,00002350,0
763,763,0,00002350,0
764,764,0,00002354,0
765,765,0,0000234c,0
766,766,0,00002350,0
767,767,0,00002350,0
768,768,0,00002350,0
769,769,0,00002354,0
770,770,0,0000234c,0
771,771,0,00002350,0
772,772,0,00002350,0
773,773,0,00002350,0
774,774,0,00002354,0
775,775,0,0000234c,0
776,776,0,00002350,0
777,777,0,00002350,0
778,778,0,00002350,0
779,779,0,00002354,0
780,780,0,0000234c,0
781,781,0,00002350,0
782,782,0,00002350,0
783,783,0,00002350,0
784,784,0,00002354,0
785,785,0,0000234c,0
786,786,0,00002350,0
787,787,0,00002350,0
788,788,0,00002350,0
789,789,0,00002354,0
790,790,0,0000234c,0
791,791,0,00002350,0
792,792,0,00002350,0
793,793,0,00002350,0
794,794,0,00002354,0
795,795,0,0000234c,0
796,796,0,00002350,0
797,797,0,00002350,0
798,798,0,00002350,0
799,799,0,00002354,0
800,800,0,0000234c,0
801,801,0,00002350,0
802,802,0,00002350,0
803,803,0,00002350,0
804,804,0,00002354,0
805,805,0,0000234c,0
806,806,0,00002350,0
807,807,0,00002350,0
808,808,0,00002350,0
809,809,0,00002354,0
810,810,0,0000234c,0
811,811,0,00002350,0
812,812,0,00002350,0
813,813,0,00002350,0
814,814,0,00002354,0
815,815,0,0000234c,0
816,816,0,00002350,0
817,817,0,00002350,0
818,818,0,00002350,0
819,819,0,00002354,0
820,820,0,0000234c,0
821,821,0,00002350,0
822,822,0,00002350,0
823,823,0,00002350,0
824,824,0,00002354,0
825,825,0,0000234c,0
826,826,0,00002350,0
827,827,0,00002350,0
828,828,0,00002350,0
829,829,0,00002354,0
830,830,0,0000234c,0
831,831,0,00002350,0
832,832,0,00002350,0
833,833,0,00002350,0
834,834,0,00002354,0
835,835,0,0000234c,0
836,836,0,00002350,0
837,837,0,00002350,0
838,838,0,00002350,0
839,839,0,00002354,0
840,840,0,0000234c,0
841,841,0,00002350,0
842,842,0,00002350,0
843,843,0,00002350,0
844,844,0,00002354,0
845,845,0,0000234c,0
846,846,0,00002350,0
847,847,0,00002350,0
848,848,0,00002350,0
849,849,0,00002354,0
850,850,0,0000234c,0
851,851,0,00002350,0
852,852,0,00002350,0
853,853,0,00002350,0
854,854,0,00002354,0
855,855,0,0000234c,0
856,856,0,00002350,0
857,857,0,00002350,0
858,858,0,00002350,0
859,859,0,00002354,0
860,860,0,0000234c,0
861,861,0,00002350,0
862,862,0,00002350,0
863,863,0,00002350,0
864,864,0,00002354,0
865,865,0,0000234c,0
866,866,0,00002350,0
867,867,0,00002350,0
868,868,0,00002350,0
869,869,0,00002354,0
870,870,0,0000234c,0
871,871,0,00002350,0
872,872,0,00002350,0
873,873,0,00002350,0
874,874,0,00002354,0
875,875,0,0000234c,0
876,876,0,00002350,0
877,877,0,00002350,0
878,878,0,00002350,0
879,879,0,00002354,0
880,880,0,0000234c,0
881,881,0,00002350,0
882,882,0,00002350,0
883,883,0,00002350,0
884,884,0,00002354,0
885,885,0,0000234c,0
886,886,0,00002350,0
887,887,0,00002350,0
888,888,0,00002350,0
889,889,0,00002354,0
890,890,0,0000234c,0
891,891,0,00002350,0
892,892,0,00002350,0
893,893,0,00002350,0
894,894,0,00002354,0
895,895,0,0000234c,0
896,896,0,00002350,0
897,897,0,00002350,0
898,898,0,00002350,0
899,899,0,00002354,0
900,900,0,0000234c,0
901,901,0,00002350,0
902,902,0,00002350,0
903,903,0,00002350,0
904,904,0,00002354,0
905,905,0,0000234c,0
906,906,0,00002350,0
907,907,0,00002350,0
908,908,0,00002350,0
909,909,0,00002354,0
910,910,0,0000234c,0
911,911,0,00002350,0
912,912,0,00002350,0
913,913,0,00002350,0
914,914,0,00002354,0
915,915,0,0000234c,0
916,916,0,00002350,0
917,917,0,00002350,0
918,918,0,00002350,0
919,919,0,00002354,0
920,920,0,0000234c,0
921,921,0,00002350,0
922,922,0,00002350,0
923,923,0,00002350,0
924,924,0,00002354,0
925,925,0,0000234c,0
926,926,0,00002350,0
927,927,0,00002350,0
928,928,0,00002350,0
929,929,0,00002354,0
930,930,0,0000234c,0
931,931,0,00002350,0
932,932,0,00002350,0
933,933,0,00002350,0
934,934,0,00002354,0
935,935,0,0000234c,0
936,936,0,00002350,0
937,937,0,00002350,0
938,938,0,00002350,0
939,939,0,00002354,0
940,940,0,0000234c,0
941,941,0,00002350,0
942,942,0,00002350,0
943,943,0,00002350,0
944,944,0,00002354,0
945,945,0,0000234c,0
946,946,0,00002350,0
947,947,0,00002350,0
948,948,0,00002350,0
949,949,0,00002354,0
950,950,0,0000234c,0
951,951,0,00002350,0
952,952,0,00002350,0
953,953,0,00002350,0
954,954,0,00002354,0
955,955,0,0000234c,0
956,956,0,00002350,0
957,957,0,00002350,0
958,958,0,00002350,0
959,959,0,00002354,0
960,960,0,0000234c,0
961,961,0,00002350,0
962,962,0,00002350,0
963,963,0,00002350,0
964,964,0,00002354,0
965,965,0,0000234c,0
966,966,0,00002350,0
967,967,0,00002350,0
968,968,0,00002350,0
969,969,0,00002354,0
970,970,0,0000234c,0
971,971,0,00002350,0
972,972,0,00002350,0
973,973,0,00002350,0
974,974,0,00002354,0
975,975,0,0000234c,0
976,976,0,00002350,0
977,977,0,00002350,0
978,978,0,00002350,0
979,979,0,00002354,0
980,980,0,0000234c,0
981,981,0,00002350,0
982,982,0,00002350,0
983,983,0,00002350,0
984,984,0,00002354,0
985,985,0,0000234c,0
986,986,0,00002350,0
987,987,0,00002350,0
988,988,0,00002350,0
989,989,0,00002354,0
990,990,0,0000234c,0
991,991,0,00002350,0
992,992,0,00002350,0
993,993,0,00002350,0
994,994,0,00002354,0
995,995,0,0000234c,0
996,996,0,00002350,0
997,997,0,00002350,0
998,998,0,00002350,0
999,999,0,00002354,0
1000,1000,0,0000234c,0
1001,1001,0,00002350,0
1002,1002,0,00002350,0
1003,1003,0,00002350,0
1004,1004,0,00002354,0
1005,1005,0,0000234c,0
1006,1006,0,00002350,0
1007,1007,0,00002350,0
1008,1008,0,00002350,0
1009,1009,0,00002354,0
1010,1010,0,0000234c,0
1011,1011,0,00002350,0
1012,1012,0,00002350,0
1013,1013,0,00002350,0
1014,1014,0,00002354,0
1015,1015,0,0000234c,0
1016,1016,0,00002350,0
1017,1017,0,00002350,0
1018,1018,0,00002350,0
1019,1019,0,00002354,0
1020,1020,0,0000234c,0
1021,1021,0,00002350,0
1022,1022,0,00002350,0
1023,1023,0,00002350,0
